Participant,Condition,Epoch,Amplitude
0228-XZBNN,congruent,52,0.005747961203500843
0228-XZBNN,congruent,53,0.005928655198791992
0228-XZBNN,congruent,54,0.006105069723046059
0228-XZBNN,congruent,55,0.003831443150759204
0228-XZBNN,congruent,56,0.0059259736886610485
0228-XZBNN,congruent,57,0.006107142022497403
0228-XZBNN,congruent,58,0.005747440473580754
0228-XZBNN,congruent,59,0.005925714919589896
0228-XZBNN,congruent,60,0.006105520536643426
0228-XZBNN,congruent,61,0.005747576169923541
0228-XZBNN,congruent,62,0.005926649810932659
0228-XZBNN,congruent,63,0.006108827886865155
0228-XZBNN,congruent,64,0.005745417846850673
0228-XZBNN,congruent,65,0.005926685329432613
0228-XZBNN,congruent,66,0.004072295082499568
0228-XZBNN,congruent,67,0.005746144392325737
0228-XZBNN,congruent,68,0.0059266708879802165
0228-XZBNN,congruent,69,0.006106743864271652
0228-XZBNN,congruent,70,0.0057465632697497136
0228-XZBNN,congruent,71,0.0059274560184416685
0228-XZBNN,congruent,72,0.0061065440041742
0228-XZBNN,congruent,73,0.005747103167590717
0228-XZBNN,congruent,74,0.0059280783224024665
0228-XZBNN,congruent,75,0.006104464034771166
0228-XZBNN,congruent,76,0.00574874834549715
0228-XZBNN,congruent,77,0.005927781482243097
0228-XZBNN,congruent,78,0.006105988200948651
0228-XZBNN,congruent,79,0.00574593522886687
0228-XZBNN,congruent,80,0.005925812802503741
0228-XZBNN,congruent,81,0.006106197968523388
0228-XZBNN,congruent,82,0.005747865787449066
0228-XZBNN,congruent,83,0.005925425138384986
0228-XZBNN,congruent,84,0.005747933467053153
0228-XZBNN,congruent,85,0.0059262956838129635
0228-XZBNN,congruent,86,0.006105788004256679
0228-XZBNN,congruent,87,0.00574659353194826
0228-XZBNN,congruent,88,0.005930009842337221
0228-XZBNN,congruent,89,0.006104657038310696
0228-XZBNN,congruent,90,0.005747077170409395
0228-XZBNN,congruent,91,0.005927338569422329
0228-XZBNN,congruent,92,0.006105765405610945
0228-XZBNN,congruent,93,0.005747116842701797
0228-XZBNN,congruent,94,0.005928258773380833
0228-XZBNN,congruent,95,0.00574784345487824
0228-XZBNN,congruent,96,0.00592602369437072
0228-XZBNN,congruent,97,0.006106558763675103
0228-XZBNN,congruent,98,0.005745295066712402
0228-XZBNN,congruent,99,0.005926806705455212
0228-XZBNN,congruent,100,0.005747017693228652
0228-XZBNN,congruent,101,0.005929857709077208
0228-XZBNN,congruent,102,0.006104616562636305
0228-XZBNN,congruent,103,0.005747474926451329
0228-XZBNN,congruent,104,0.005926119954162581
0228-XZBNN,congruent,105,0.006108220790251857
0228-XZBNN,congruent,106,0.0057466529119098
0228-XZBNN,congruent,107,0.0059269691775947365
0228-XZBNN,congruent,108,0.00610387513092068
0228-XZBNN,congruent,109,0.005749377827381464
0228-XZBNN,congruent,110,0.005926752899356739
0228-XZBNN,congruent,111,0.006105756551247919
0228-XZBNN,congruent,112,0.0057470169322743426
0228-XZBNN,congruent,113,0.005926915262647333
0228-XZBNN,congruent,114,0.006107435822803974
0228-XZBNN,congruent,115,0.005748671399409444
0228-XZBNN,congruent,116,0.005926634499697852
0228-XZBNN,congruent,117,0.006104131367977393
0228-XZBNN,congruent,118,0.005747714102923381
0228-XZBNN,congruent,119,0.005926081225719117
0228-XZBNN,congruent,120,0.006107731253901878
0228-XZBNN,congruent,121,0.005926566179621349
0228-XZBNN,congruent,122,0.006105100491892508
0228-XZBNN,congruent,123,0.005746995202959838
0228-XZBNN,congruent,124,0.005928827233025142
0228-XZBNN,congruent,125,0.006107893618598747
0228-XZBNN,congruent,126,0.005746093821165805
0228-XZBNN,congruent,127,0.005928667552329453
0228-XZBNN,congruent,128,0.00610761955551806
0228-XZBNN,congruent,129,0.005746962028571286
0228-XZBNN,congruent,130,0.005928353568125641
0228-XZBNN,congruent,131,0.006105700220035603
0228-XZBNN,congruent,132,0.005746126736317888
0228-XZBNN,congruent,133,0.003951308013408026
0228-XZBNN,congruent,134,0.006106495569235556
0228-XZBNN,congruent,135,0.005749182988574365
0228-XZBNN,congruent,136,0.005925320517962923
0228-XZBNN,congruent,137,0.006104441748554947
0228-XZBNN,congruent,138,0.0057513754899144905
0228-XZBNN,congruent,139,0.005926265313915533
0228-XZBNN,congruent,140,0.004069785932728082
0228-XZBNN,congruent,141,0.005748043297550749
0228-XZBNN,congruent,142,0.005926609922619786
0228-XZBNN,congruent,143,0.0057468635819085
0228-XZBNN,congruent,144,0.005928692528064713
0228-XZBNN,congruent,145,0.006105786040884519
0228-XZBNN,congruent,146,0.0057471724272432695
0228-XZBNN,congruent,147,0.005925862987722391
0228-XZBNN,congruent,148,0.006106578053495574
0228-XZBNN,congruent,149,0.005747308142619176
0228-XZBNN,congruent,150,0.005924682016729548
0228-XZBNN,congruent,151,0.006106372458535064
0228-XZBNN,congruent,152,0.005748302017920612
0228-XZBNN,congruent,153,0.005925605770457341
0228-XZBNN,congruent,154,0.006106239559898828
0228-XZBNN,congruent,155,0.005746864967278295
0228-XZBNN,congruent,156,0.0039518894434403
0228-XZBNN,congruent,157,0.006105353599210356
0228-XZBNN,congruent,158,0.005748320088247073
0228-XZBNN,congruent,159,0.005928758802824345
0228-XZBNN,congruent,160,0.006105766171359288
0228-XZBNN,congruent,161,0.005748431128085325
0228-XZBNN,congruent,162,0.00592521720759188
0228-XZBNN,congruent,163,0.005747467192158867
0228-XZBNN,congruent,164,0.005928852545802079
0228-XZBNN,congruent,165,0.0057446678047950875
0228-XZBNN,congruent,166,0.005928722869432474
0228-XZBNN,congruent,167,0.00610667435213827
0228-XZBNN,congruent,168,0.005745513084384742
0228-XZBNN,congruent,169,0.005924100738630662
0228-XZBNN,congruent,170,0.00574735903418968
0228-XZBNN,congruent,171,0.003953473876836247
0228-XZBNN,congruent,172,0.006106223334241176
0228-XZBNN,congruent,173,0.005749106775855466
0228-XZBNN,congruent,174,0.005925653591069167
0228-XZBNN,congruent,175,0.005747709688017578
0228-XZBNN,congruent,176,0.005928520040730919
0228-XZBNN,congruent,177,0.005748445920857468
0228-XZBNN,congruent,178,0.005925415505541319
0228-XZBNN,congruent,179,0.006107758215990939
0228-XZBNN,congruent,180,0.005748311312681556
0228-XZBNN,congruent,181,0.0059270862466846265
0228-XZBNN,congruent,182,0.004070613084616006
0228-XZBNN,congruent,183,0.005748274560707839
0228-XZBNN,congruent,184,0.005924706636251066
0228-XZBNN,congruent,185,0.006105230400031186
0228-XZBNN,congruent,186,0.0057492503198308285
0228-XZBNN,congruent,187,0.005928171861821953
0228-XZBNN,congruent,188,0.006107266264341209
0228-XZBNN,congruent,189,0.005929955800089296
0228-XZBNN,congruent,190,0.006106646829539427
0228-XZBNN,congruent,191,0.003831031978030429
0228-XZBNN,congruent,192,0.005927268485548091
0228-XZBNN,congruent,193,0.00574782143340565
0228-XZBNN,congruent,194,0.005926563831452997
0228-XZBNN,congruent,195,0.006109555445460057
0228-XZBNN,congruent,196,0.005747126623736895
0228-XZBNN,congruent,197,0.003951929551175842
0228-XZBNN,congruent,198,0.006104290365373644
0228-XZBNN,congruent,199,0.005747287066997708
0228-XZBNN,congruent,200,0.0059284167828425926
0228-XZBNN,congruent,201,0.006105077223709042
0228-XZBNN,congruent,202,0.0057493482932013075
0228-XZBNN,congruent,203,0.005924806711635679
0228-XZBNN,congruent,204,0.006106716355827036
0228-XZBNN,congruent,205,0.005748880160448489
0228-XZBNN,congruent,206,0.0059269184244478
0228-XZBNN,congruent,207,0.0061062391667032045
0228-XZBNN,congruent,208,0.00574484852314967
0228-XZBNN,congruent,209,0.005928009144105816
0228-XZBNN,congruent,210,0.006107197613752586
0228-XZBNN,incongruent,0,0.009337895173422157
0228-XZBNN,incongruent,1,0.00622273833617353
0228-XZBNN,incongruent,2,0.009520071798359704
0228-XZBNN,incongruent,3,0.009340982671213903
0228-XZBNN,incongruent,4,0.009338101219021297
0228-XZBNN,incongruent,5,0.006346417843980561
0228-XZBNN,incongruent,6,0.009341703992922253
0228-XZBNN,incongruent,7,0.009337881845464488
0228-XZBNN,incongruent,8,0.009699623395175657
0228-XZBNN,incongruent,9,0.009342079448404957
0228-XZBNN,incongruent,10,0.009520774840552903
